ID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,Target,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,Anaemia/Pallor_Absent,Anaemia/Pallor_Present,Anaemia/Pallor_Unknown,Anoroxia/Loss of apetite_Absent,Anoroxia/Loss of apetite_Present,Anoroxia/Loss of apetite_Unknown,Ataxia/ Incoordination of movement_Absent,Ataxia/ Incoordination of movement_Present,Ataxia/ Incoordination of movement_Unknown,Constipation_Absent,Constipation_Present,Constipation_Unknown,Diarrhoea_Absent,Diarrhoea_Present,Diarrhoea_Unknown,Dysentery/Bloody diarrhoea_Absent,Dysentery/Bloody diarrhoea_Present,Dysentery/Bloody diarrhoea_Unknown,Dyspnoea/Difficulty breathing_Merge_Absent,Dyspnoea/Difficulty breathing_Merge_Present,Dyspnoea/Difficulty breathing_Merge_Unknown,Icterus/ Yellowsh mucous membrane_Absent,Icterus/ Yellowsh mucous membrane_Present,Icterus/ Yellowsh mucous membrane_Unknown,Lymphnode enlargment_Absent,Lymphnode enlargment_Present,Lymphnode enlargment_Unknown,Pyrexia / Fever_Absent,Pyrexia / Fever_Present,Pyrexia / Fever_Unknown,Staring/Rough coat_Absent,Staring/Rough coat_Present,Staring/Rough coat_Unknown,Stunted growth_Absent,Stunted growth_Present,Stunted growth_Unknown,Submandibular/ Ventral oedema_Absent,Submandibular/ Ventral oedema_Present,Submandibular/ Ventral oedema_Unknown,Weakness_Absent,Weakness_Present,Weakness_Unknown,Weight loss/ Emaciation_Absent,Weight loss/ Emaciation_Present,Weight loss/ Emaciation_Unknown,ANTHRAX,BABESIOSIS,BLACKLEG,CBPP,COLIBACILLOSIS,COWDRIOSIS,FASCIOLOSIS,FMD,GI_PARASITE,LSD,LUNGWORM,PASTEUROLLOSIS,RABIES,TRYPANOSOMOSIS,TUBERCULOSIS,ZZ_OTHER
5804,0,158,M,veteddie_eddie,7/17/2020 0:00, CATTLE,ANTHRAX,1,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2171,0,0,U,Eddie,7/15/2019 0:00, CATTLE,ANTHRAX,1,NP,NP,NP,NP,NP,NP,NP,P,NP,P,P,P,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2134,1,171,D,Eddie,7/12/2019 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,P,NP,NP,NP,P,P,P,P,NP,NP,P,P,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,143,D,Eddie,5/10/2019 0:00, CATTLE,BABESIOSIS,2,P,P,P,P,NP,NP,P,P,NP,P,NP,NP,NP,P,P,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,74,D,Eddie,7/5/2019 0:00, CATTLE,BABESIOSIS,2,P,P,P,P,NP,NP,P,P,NP,P,P,NP,NP,P,P,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0,85,M,Eddie,4/25/2019 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1950,0,85,M,Eddie,5/27/2019 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
627,0,0,U,Eddie,2/7/2019 0:00, CATTLE,BABESIOSIS,2,P,P,NP,P,NP,NP,P,P,P,P,P,NP,P,P,NP,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4324,1,0,U,veteddie_eddie,1/15/2020 0:00, CATTLE,BABESIOSIS,2,P,NP,P,NP,NP,NP,NP,P,NP,P,NP,NP,NP,P,P,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,0,0,U,Eddie,3/14/2019 0:00, CATTLE,BABESIOSIS,2,P,P,NP,P,NP,NP,P,P,P,NP,P,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
